art_grp_se,archv_artst_nm,nm,vrit_mark_cn,realm_cl,act_relm_cn,birth_year,rsrch_man_nm,url
FARTST,미술작가,김영구(김영),,회화,,,,
FARTST,미술작가,박동우,Park Dong Woo,무대미술,,,,
FARTST,미술작가,유지원,柳智元,회화,,,,
ARTST,예술인,강경구,Kang kyung koo,시각예술,미술작가,1952,,https://www.daarts.or.kr/handle/11080/19200
ARTST,예술인,강관욱,Kang kwan wook,시각예술,미술작가,1945,,https://www.daarts.or.kr/handle/11080/19201
ARTST,예술인,강광,Kang kwang,시각예술,미술작가,,,https://www.daarts.or.kr/handle/11080/19202
ARTST,예술인,강남미,Kang nam mi,미술작가,미술작가,1951,,https://www.daarts.or.kr/handle/11080/19203
ARTST,예술인,강동규,Kang Dongkyu,창작음악,창작음악,1976,,https://www.daarts.or.kr/handle/11080/52369
ARTST,예술인,강미영,kang mi young,시각예술,미술작가,1962,,https://www.daarts.or.kr/handle/11080/19204
ARTST,예술인,강민,"姜敏, 본명 성철(聲哲)",문학,"시, 출판편집",1933,,https://www.daarts.or.kr/handle/11080/120095
ARTST,예술인,강봉규,Kang bong kyu,미술작가,사진,1935,,https://www.daarts.or.kr/handle/11080/19205
ARTST,예술인,강석영,Kang suk young,미술작가,미술작가,1949,,https://www.daarts.or.kr/handle/11080/19206
ARTST,예술인,강석희,姜碩熙,창작음악,창작음악,1934,,https://www.daarts.or.kr/handle/11080/64392
ARTST,예술인,강선영,姜善泳,공연예술,한국무용,1925,,https://www.daarts.or.kr/handle/11080/6323
ARTST,예술인,강성원,Kang seong won,미술작가,미술작가,1956,,https://www.daarts.or.kr/handle/11080/19207
ARTST,예술인,강순미,Kahng Soonmee,창작음악,창작음악,1948,,https://www.daarts.or.kr/handle/11080/49620
ARTST,예술인,강애란,Kang ai ran,미술작가,미술작가,1960,,https://www.daarts.or.kr/handle/11080/19208
ARTST,예술인,강연균,Kang yeon gyun,미술작가,미술작가,1940,,https://www.daarts.or.kr/handle/11080/19209
ARTST,예술인,강영걸,康英傑,공연예술,연극연출,1943,,https://www.daarts.or.kr/handle/11080/88374
ARTST,예술인,강용면,Kang yong myeon,시각예술,미술작가,1957,,https://www.daarts.or.kr/handle/11080/19210
ARTST,예술인,강운,Kang un,시각예술,미술작가,1966,,https://www.daarts.or.kr/handle/11080/19212
ARTST,예술인,강은경,Kang Eunkoung,창작음악,창작음악,1968,,https://www.daarts.or.kr/handle/11080/52331
ARTST,예술인,강익중,Kang ik joong,미술작가,미술작가,1960,,https://www.daarts.or.kr/handle/11080/19213
ARTST,예술인,강정완,Kang jeong wan,미술작가,미술작가,1933,,https://www.daarts.or.kr/handle/11080/19214
ARTST,예술인,강진모,Kang jin mo,미술작가,미술작가,1956,,https://www.daarts.or.kr/handle/11080/19215
ARTST,예술인,강진식,Kang jin sik,미술작가,미술작가,1899,,https://www.daarts.or.kr/handle/11080/19216
ARTST,예술인,강찬균,Kang chan gyun,미술작가,미술작가,1938,,https://www.daarts.or.kr/handle/11080/19217
ARTST,예술인,강찬모,Kang chan mo,미술작가,미술작가,1949,,https://www.daarts.or.kr/handle/11080/19218
ARTST,예술인,강태성,Kang tae seong,미술작가,미술작가,1927,,https://www.daarts.or.kr/handle/11080/19219
ARTST,예술인,강행원,Kang haeng won,기타,미술작가,,,https://www.daarts.or.kr/handle/11080/19220
ARTST,예술인,강혜경,,공연예술,음악,1974,,https://www.daarts.or.kr/handle/11080/135769
ARTST,예술인,강혜경,,공연예술,음악,1974,,https://www.daarts.or.kr/handle/11080/135956
ARTST,예술인,강혜경,,공연예술,음악,1974,,https://www.daarts.or.kr/handle/11080/135955
ARTST,예술인,강혜경,,공연예술,음악,1974,,https://www.daarts.or.kr/handle/11080/135770
ARTST,예술인,강혜리,Kang Hyeri,창작음악,창작음악,1979,,https://www.daarts.or.kr/handle/11080/58057
ARTST,예술인,강혜림,,공연예술,무용,1987,,https://www.daarts.or.kr/handle/11080/136009
ARTST,예술인,강혜림,,공연예술,무용,1987,,https://www.daarts.or.kr/handle/11080/136010
ARTST,예술인,강혜숙,姜惠淑,공연예술,한국창작춤,1947,,https://www.daarts.or.kr/handle/11080/73711
ARTST,예술인,강훈,Kang Hoon,창작음악,창작음악,1979,,https://www.daarts.or.kr/handle/11080/52190
ARTST,예술인,강희덕,Kang hee duk,미술작가,미술작가,1948,,https://www.daarts.or.kr/handle/11080/19221
ARTST,예술인,계낙영,Kyea nak young,미술작가,미술작가,1948,,https://www.daarts.or.kr/handle/11080/19222
ARTST,예술인,고명근,Koh myung keun,시각예술,미술작가,1964,,https://www.daarts.or.kr/handle/11080/19223
ARTST,예술인,고성원,高成源,대중예술,드라마 연출,1937,,https://www.daarts.or.kr/handle/11080/73242
ARTST,예술인,고영훈,Ko young hoon,시각예술,미술작가,1952,,https://www.daarts.or.kr/handle/11080/19224
ARTST,예술인,고은영,Go Eun-young,창작음악,창작음악,1979,,https://www.daarts.or.kr/handle/11080/48981
ARTST,예술인,고정수,Koh jeong soo,시각예술,미술작가,1947,,https://www.daarts.or.kr/handle/11080/19225
ARTST,예술인,고태암,Goh Taeahm,창작음악,창작음악,1974,,https://www.daarts.or.kr/handle/11080/52214
ARTST,예술인,고태은,Koh Tae-eun,창작음악,창작음악,1960,,https://www.daarts.or.kr/handle/11080/58256
ARTST,예술인,고향미,"高響美, 본명 이명숙(李明淑)",공연예술,배우,1922,,https://www.daarts.or.kr/handle/11080/6384
ARTST,예술인,공석준,Kong Suk-joon,창작음악,창작음악,1938,,https://www.daarts.or.kr/handle/11080/65696
ARTST,예술인,공성훈,Kong sung hun,미술작가,미술작가,1965,,https://www.daarts.or.kr/handle/11080/19226
ARTST,예술인,곽계정,Goak gae jeong,미술작가,미술작가,1940,,https://www.daarts.or.kr/handle/11080/19227
ARTST,예술인,곽남신,Kwak nam sin,미술작가,미술작가,1953,,https://www.daarts.or.kr/handle/11080/19228
ARTST,예술인,곽덕준,Kwak duck jun,미술작가,미술작가,1937,,https://www.daarts.or.kr/handle/11080/19229
ARTST,예술인,곽정명,Gwak jeong myeong,미술작가,미술작가,1955,,https://www.daarts.or.kr/handle/11080/19230
ARTST,예술인,곽훈,Kwak hoon,미술작가,미술작가,1941,,https://www.daarts.or.kr/handle/11080/19231
ARTST,예술인,구근회,,공연예술,연극,1961,,https://www.daarts.or.kr/handle/11080/92420
ARTST,예술인,구두회,具斗會,공연예술,작곡,1921,,https://www.daarts.or.kr/handle/11080/107156
ARTST,예술인,구본주,Gu bon ju,시각예술,미술작가,1967,,https://www.daarts.or.kr/handle/11080/19232
ARTST,예술인,구본창,Koo bohn chang,미술작가,미술작가,1953,,https://www.daarts.or.kr/handle/11080/19233
ARTST,예술인,구인환,丘仁煥,문학,평론,1929,,https://www.daarts.or.kr/handle/11080/5713
ARTST,예술인,구자만,Koo Jaman,창작음악,창작음악,1961,,https://www.daarts.or.kr/handle/11080/51959
ARTST,예술인,구자승,Koo cha soong,미술작가,미술작가,1941,,https://www.daarts.or.kr/handle/11080/19234
ARTST,예술인,구히서,具熙書,공연예술,연극평론,1939,,https://www.daarts.or.kr/handle/11080/60739
ARTST,예술인,국수호,鞠守鎬,공연예술,한국무용,1948,,https://www.daarts.or.kr/handle/11080/29621
ARTST,예술인,권기현,Kwon Kihyun,창작음악,창작음악,1975,,https://www.daarts.or.kr/handle/11080/67248
ARTST,예술인,권명화,權明花,공연예술,한국무용,1934,,https://www.daarts.or.kr/handle/11080/6175
ARTST,예술인,권성덕,權成德,공연예술,배우,1940,,https://www.daarts.or.kr/handle/11080/28964
ARTST,예술인,권성현,Kweon Seonghyeon,창작음악,창작음악,1972,,https://www.daarts.or.kr/handle/11080/49065
ARTST,예술인,권순철,Kwun sun cheol,미술작가,미술작가,1944,,https://www.daarts.or.kr/handle/11080/19235
ARTST,예술인,권순형,Kwon soon hyung,시각예술,미술작가,1929,,https://www.daarts.or.kr/handle/11080/19236
ARTST,예술인,권여현,Kwon yeo hyun,시각예술,미술작가,1961,,https://www.daarts.or.kr/handle/11080/19237
ARTST,예술인,권영우,Kwon young woo,시각예술,한국화,1926,,https://www.daarts.or.kr/handle/11080/19238
ARTST,예술인,권오창,權五昌,시각예술,한국화,1948,,https://www.daarts.or.kr/handle/11080/5912
ARTST,예술인,권옥연,"權玉淵, 호: 무의자",시각예술,서양화,1923,,https://www.daarts.or.kr/handle/11080/120177
ARTST,예술인,권옥연, 權玉淵,시각예술,서양화,1923,,https://www.daarts.or.kr/handle/11080/5958
ARTST,예술인,권정호,Kwon jung ho,시각예술,미술작가,1944,,https://www.daarts.or.kr/handle/11080/19253
ARTST,예술인,권지원,Kwon Ji-won,창작음악,창작음악,1977,,https://www.daarts.or.kr/handle/11080/58320
ARTST,예술인,그레타 리,본명 이용주(李容周),공연예술,"의상, 분장",1944,,https://www.daarts.or.kr/handle/11080/6293
ARTST,예술인,금동원,琴東媛,시각예술,한국화,1927,,https://www.daarts.or.kr/handle/11080/5909
ARTST,예술인,금수현,,창작음악,창작음악,1919,,https://www.daarts.or.kr/handle/11080/69891
ARTST,예술인,금중기,Keum joong ki,미술작가,미술작가,1964,,https://www.daarts.or.kr/handle/11080/19254
ARTST,예술인,기유경,,시각예술,회화,1965,,https://www.daarts.or.kr/handle/11080/70408
ARTST,예술인,길석근,Gil Seok-geun,창작음악,창작음악,1968,,https://www.daarts.or.kr/handle/11080/58831
ARTST,예술인,김경란,金京蘭,공연예술,전통무용,1956,,https://www.daarts.or.kr/handle/11080/73728
ARTST,예술인,김경승,Kim kyung seung,미술작가,미술작가,1915,,https://www.daarts.or.kr/handle/11080/19255
ARTST,예술인,김경인,Kim kyung in,미술작가,미술작가,1941,,https://www.daarts.or.kr/handle/11080/19256
ARTST,예술인,김경자,Kim Kyoungja,창작음악,창작음악,1960,,https://www.daarts.or.kr/handle/11080/58405
ARTST,예술인,김광림,金光林,문학,시,1929,,https://www.daarts.or.kr/handle/11080/5649
ARTST,예술인,김광문,Kim kwang moon,시각예술,미술작가,1954,,https://www.daarts.or.kr/handle/11080/19257
ARTST,예술인,김광우,Kim kwang woo,미술작가,미술작가,1941,,https://www.daarts.or.kr/handle/11080/19258
ARTST,예술인,김광희,Kim Kwanghee,창작음악,0,1950,,https://www.daarts.or.kr/handle/11080/52321
ARTST,예술인,김구림,Kim ku lim,미술작가,미술작가,1936,,https://www.daarts.or.kr/handle/11080/19259
ARTST,예술인,김권섭,Kim Kwonseob,창작음악,창작음악,1974,,https://www.daarts.or.kr/handle/11080/58247
ARTST,예술인,김규동,金奎東,문학,시,1925,,https://www.daarts.or.kr/handle/11080/5666
ARTST,예술인,김근중,Kim keun joong,시각예술,미술작가,1955,,https://www.daarts.or.kr/handle/11080/19260
ARTST,예술인,김기라,Kim ki ra,시각예술,미술작가,1959,,https://www.daarts.or.kr/handle/11080/19261
ARTST,예술인,김기린,Kim gui line,미술작가,미술작가,1936,,https://www.daarts.or.kr/handle/11080/19262
ARTST,예술인,김기율,金基律,시각예술,만화,1922,,https://www.daarts.or.kr/handle/11080/5801
ARTST,예술인,김기창,Kim ki chang,미술작가,미술작가,1914,,https://www.daarts.or.kr/handle/11080/19263
ARTST,예술인,김남조,金南祚,문학,시,1927,,https://www.daarts.or.kr/handle/11080/5778
ARTST,예술인,김녹촌,金鹿村,문학,아동문학,1927,,https://www.daarts.or.kr/handle/11080/5686
ARTST,예술인,김대성,Kim Dae-seong,창작음악,창작음악,1967,,https://www.daarts.or.kr/handle/11080/49318
ARTST,예술인,김대수,Kim dae soo,미술작가,미술작가,1955,,https://www.daarts.or.kr/handle/11080/19264
ARTST,예술인,김대열,Kim Daeyeoul,미술작가,미술작가,1952,,https://www.daarts.or.kr/handle/11080/19266
ARTST,예술인,김대원,Kim dae won,미술작가,미술작가,1955,,https://www.daarts.or.kr/handle/11080/19267
ARTST,예술인,김덕명,金德明,공연예술,"민속춤, 동래야류",1924,,https://www.daarts.or.kr/handle/11080/6239
ARTST,예술인,김동원,金東園,공연예술,배우,1916,,https://www.daarts.or.kr/handle/11080/6519
ARTST,예술인,김동주,,시각예술,회화,1956,,https://www.daarts.or.kr/handle/11080/135914
ARTST,예술인,김동주,,시각예술,회화,1956,,https://www.daarts.or.kr/handle/11080/135915
ARTST,예술인,김동진,金東振,공연예술,음악,1913,,https://www.daarts.or.kr/handle/11080/6142
FARTST,미술작가,금동원,琴東媛,회화,,,,
ARTST,예술인,김매자,金梅子,공연예술,한국무용,1943,,https://www.daarts.or.kr/handle/11080/6353
ARTST,예술인,김명희,Kim myong hi,시각예술,미술작가,1949,,https://www.daarts.or.kr/handle/11080/19268
ARTST,예술인,김명희,Kim myung hee,시각예술,미술작가,1949,,https://www.daarts.or.kr/handle/11080/10842
ARTST,예술인,김문숙,金文淑,공연예술,신무용,1928,,https://www.daarts.or.kr/handle/11080/6253
ARTST,예술인,김문식,Kim moon sik,미술작가,미술작가,1951,,https://www.daarts.or.kr/handle/11080/19269
ARTST,예술인,김문환,金文煥,공연예술,"연극평론, 미학, 문화정책",1944,,https://www.daarts.or.kr/handle/11080/106942
ARTST,예술인,김미림,Kim Mi-rim,창작음악,창작음악,1965,,https://www.daarts.or.kr/handle/11080/48987
ARTST,예술인,김미형,Kim mi hyung,시각예술,미술작가,1969,,https://www.daarts.or.kr/handle/11080/19270
ARTST,예술인,김민규,KIM MIN KYU,창작음악,창작음악,1981,,https://www.daarts.or.kr/handle/11080/95958
ARTST,예술인,김민표,Minpyo Kim,창작음악,창작음악,,,https://www.daarts.or.kr/handle/11080/84001
ARTST,예술인,김범,Kim beom,미술작가,미술작가,1963,,https://www.daarts.or.kr/handle/11080/19271
ARTST,예술인,김범기,Kim Bumki,창작음악,창작음악,1974,,https://www.daarts.or.kr/handle/11080/58061
ARTST,예술인,김병기,Kim byung ki,미술작가,미술작가,1916,,https://www.daarts.or.kr/handle/11080/19272
ARTST,예술인,김보희,Kim bo hie,미술작가,미술작가,1952,,https://www.daarts.or.kr/handle/11080/19273
ARTST,예술인,김봉구,Kim bong goo,미술작가,미술작가,1939,,https://www.daarts.or.kr/handle/11080/19274
ARTST,예술인,김봉준,Kim bong jun,미술작가,미술작가,,,https://www.daarts.or.kr/handle/11080/19275
ARTST,예술인,김봉태,Kim bong tae,미술작가,미술작가,1937,,https://www.daarts.or.kr/handle/11080/19276
ARTST,예술인,김봉호,Kim Bong-ho,창작음악,창작음악,1961,,https://www.daarts.or.kr/handle/11080/49555
ARTST,예술인,김부자,Kim bu ja,시각예술,미술작가,1945,,https://www.daarts.or.kr/handle/11080/19277
ARTST,예술인,김상구,Kim sang ku,미술작가,미술작가,1945,,https://www.daarts.or.kr/handle/11080/19278
ARTST,예술인,김상묵,,공연예술,연극,1987,,https://www.daarts.or.kr/handle/11080/136002
ARTST,예술인,김상묵,,공연예술,연극,1987,,https://www.daarts.or.kr/handle/11080/136001
ARTST,예술인,김상열,金相烈,공연예술,연극일반,1941,,https://www.daarts.or.kr/handle/11080/9542
ARTST,예술인,김상욱,Sanguk Kim,창작음악,창작음악,1986,,https://www.daarts.or.kr/handle/11080/113387
ARTST,예술인,김상진,Kim Sang-jin,창작음악,창작음악,1996,,https://www.daarts.or.kr/handle/11080/87459
ARTST,예술인,김서봉,Kim ser bohng,시각예술,미술작가,1930,,https://www.daarts.or.kr/handle/11080/19279
ARTST,예술인,김석,Kim suk,시각예술,미술작가,1963,,https://www.daarts.or.kr/handle/11080/19280
ARTST,예술인,김석출,金石出,공연예술,세습무,1922,,https://www.daarts.or.kr/handle/11080/6531
ARTST,예술인,김선두,Kim sun doo,미술작가,미술작가,1958,,https://www.daarts.or.kr/handle/11080/19281
ARTST,예술인,김선회,Kim sun whoe,미술작가,미술작가,1940,,https://www.daarts.or.kr/handle/11080/19282
ARTST,예술인,김성아,Kim Sungah,창작음악,창작음악,1983,,https://www.daarts.or.kr/handle/11080/61817
ARTST,예술인,김성일,金聖一,공연예술,발레,1935,,https://www.daarts.or.kr/handle/11080/6179
ARTST,예술인,김성호,,시각예술,회화,1960,,https://www.daarts.or.kr/handle/11080/70417
ARTST,예술인,김세일,Kim se il,시각예술,미술작가,1958,,https://www.daarts.or.kr/handle/11080/19283
ARTST,예술인,김소원,金素媛,대중예술,성우,1933,,https://www.daarts.or.kr/handle/11080/60735
ARTST,예술인,김수악,金壽岳,공연예술,"진주검무, 진주교방굿거리",1925,,https://www.daarts.or.kr/handle/11080/6454
ARTST,예술인,김수혜,Kim Suehye,창작음악,창작음악,1971,,https://www.daarts.or.kr/handle/11080/49616
ARTST,예술인,김순정,,공연예술,무용,1960,,https://www.daarts.or.kr/handle/11080/135958
ARTST,예술인,김순정,,공연예술,무용,1960,,https://www.daarts.or.kr/handle/11080/135959
ARTST,예술인,김순제,金順濟,공연예술,"작곡, 뱃노래",1922,,https://www.daarts.or.kr/handle/11080/6282
ARTST,예술인,김승연,Kim seung yeon,미술작가,미술작가,1955,,https://www.daarts.or.kr/handle/11080/19284
ARTST,예술인,김승희,Kim seung hee,시각예술,미술작가,1945,,https://www.daarts.or.kr/handle/11080/19285
ARTST,예술인,김시철,"金時哲, 호 하서(河書)",문학,시,1930,,https://www.daarts.or.kr/handle/11080/5753
ARTST,예술인,김시형,Kim Shihyong,창작음악,창작음악,1972,,https://www.daarts.or.kr/handle/11080/49167
ARTST,예술인,김식,Kim shik,미술작가,미술작가,1952,,https://www.daarts.or.kr/handle/11080/19286
ARTST,예술인,김신웅,Kim Shin-woong,창작음악,창작음악,1974,,https://www.daarts.or.kr/handle/11080/52061
ARTST,예술인,김아영,Kim ah young,미술작가,미술작가,1953,,https://www.daarts.or.kr/handle/11080/19287
ARTST,예술인,김아타,Kim a tta,미술작가,미술작가,1956,,https://www.daarts.or.kr/handle/11080/19288
ARTST,예술인,김안나,Kim ahn na,미술작가,미술작가,1958,,https://www.daarts.or.kr/handle/11080/19289
ARTST,예술인,김애영,Kim aie yung,미술작가,미술작가,1944,,https://www.daarts.or.kr/handle/11080/19290
ARTST,예술인,김영기,Kim young kee,미술작가,미술작가,1911,,https://www.daarts.or.kr/handle/11080/19291
ARTST,예술인,김영운,"金英雲, 본명 김영환(金英煥) ",공연예술,배우(만담),1924,,https://www.daarts.or.kr/handle/11080/24103
ARTST,예술인,김영원,Kim young won,미술작가,미술작가,1947,,https://www.daarts.or.kr/handle/11080/19292
ARTST,예술인,김영진,Kim young jin,미술작가,미술작가,1957,,https://www.daarts.or.kr/handle/11080/19293
ARTST,예술인,김영희,,공연예술,무용,1961,,https://www.daarts.or.kr/handle/11080/135940
ARTST,예술인,김영희,,공연예술,무용,1961,,https://www.daarts.or.kr/handle/11080/135941
ARTST,예술인,김영희,金映希,공연예술,민속,1941,,https://www.daarts.or.kr/handle/11080/6317
ARTST,예술인,김옥란,,공연예술,연극,1968,,https://www.daarts.or.kr/handle/11080/134631
ARTST,예술인,김옥조,Kim ok jo,시각예술,미술작가,1943,,https://www.daarts.or.kr/handle/11080/19294
ARTST,예술인,김옥진,Kim ok jin,시각예술,미술작가,1928,,https://www.daarts.or.kr/handle/11080/99297
ARTST,예술인,김옥진,金玉振,공연예술,무용교육,1936,,https://www.daarts.or.kr/handle/11080/6359
ARTST,예술인,김온경,金昷慶,공연예술,한국민속무용,1938,,https://www.daarts.or.kr/handle/11080/6301
ARTST,예술인,김용문,Kim yong moon,시각예술,미술작가,1955,,https://www.daarts.or.kr/handle/11080/19295
ARTST,예술인,김용식,Kim yong sik,미술작가,미술작가,1954,,https://www.daarts.or.kr/handle/11080/19296
ARTST,예술인,김용이,金容伊,공연예술,의상 및 소품,1939,,https://www.daarts.or.kr/handle/11080/6313
ARTST,예술인,김용진,金容振,창작음악,창작음악,1930,,https://www.daarts.or.kr/handle/11080/50062
ARTST,예술인,김용철,Kim yong chul,미술작가,미술작가,1949,,https://www.daarts.or.kr/handle/11080/19297
ARTST,예술인,김우옥,金雨玉,공연예술,연극연출,1934,,https://www.daarts.or.kr/handle/11080/60958
ARTST,예술인,김우옥,金雨玉,공연예술,연출가,1934,,https://www.daarts.or.kr/handle/11080/6166
ARTST,예술인,김우종,金宇鐘,문학,평론,1929,,https://www.daarts.or.kr/handle/11080/5674
ARTST,예술인,김웅,Kim woong,미술작가,미술작가,1944,,https://www.daarts.or.kr/handle/11080/19298
ARTST,예술인,김원,Kim won,시각예술,미술작가,1932,,https://www.daarts.or.kr/handle/11080/19299
ARTST,예술인,김원숙,Kim won sook,미술작가,미술작가,1953,,https://www.daarts.or.kr/handle/11080/19300
ARTST,예술인,김원일,金源一,문학,소설,1942,,https://www.daarts.or.kr/handle/11080/107190
ARTST,예술인,김유리,Kim Yoo-ri,창작음악,창작음악,1963,,https://www.daarts.or.kr/handle/11080/51267
ARTST,예술인,김유선,Kim you sun,미술작가,미술작가,1955,,https://www.daarts.or.kr/handle/11080/19301
ARTST,예술인,김윤성,金潤成,문학,시,1926,,https://www.daarts.or.kr/handle/11080/5719
ARTST,예술인,김윤진,Yoonjin Kim,창작음악,창작음악,1982,,https://www.daarts.or.kr/handle/11080/83966
ARTST,예술인,김은성,Eunsung Kim,창작음악,창작음악,,,https://www.daarts.or.kr/handle/11080/113612
ARTST,예술인,김은숙,KIM EUNSOOK,창작음악,창작음악,1966,,https://www.daarts.or.kr/handle/11080/106563
ARTST,예술인,김은영,"Kim, Eunyoung",창작음악,창작음악,1973,,https://www.daarts.or.kr/handle/11080/83958
ARTST,예술인,김은진,Kim eun jin,시각예술,미술작가,1968,,https://www.daarts.or.kr/handle/11080/19302
ARTST,예술인,김은혜,Kim Eunhye,창작음악,창작음악,1956,,https://www.daarts.or.kr/handle/11080/48950
ARTST,예술인,김의경,金義卿,공연예술,극작가,1936,,https://www.daarts.or.kr/handle/11080/6157
ARTST,예술인,김익영,Kim yik yung,미술작가,미술작가,1935,,https://www.daarts.or.kr/handle/11080/19303
ARTST,예술인,김인겸,Kim in kyum,미술작가,미술작가,1945,,https://www.daarts.or.kr/handle/11080/19304
ARTST,예술인,김인경,Kim in kyung,시각예술,미술작가,1953,,https://www.daarts.or.kr/handle/11080/19305
ARTST,예술인,김인순,Kim in sun,시각예술,미술작가,1941,,https://www.daarts.or.kr/handle/11080/19306
ARTST,예술인,김인중,Kim en joong,미술작가,미술작가,1940,,https://www.daarts.or.kr/handle/11080/19307
ARTST,예술인,김일용,Kim il yong,미술작가,미술작가,1959,,https://www.daarts.or.kr/handle/11080/19308
ARTST,예술인,김자연,,시각예술,회화,1964,,https://www.daarts.or.kr/handle/11080/70449
ARTST,예술인,김재관,Kim jai kwan,미술작가,미술작가,1947,,https://www.daarts.or.kr/handle/11080/19309
ARTST,예술인,김정명,Kim jung myung,미술작가,미술작가,1945,,https://www.daarts.or.kr/handle/11080/19310
ARTST,예술인,김정옥,金正鈺,공연예술,연출가,1932,,https://www.daarts.or.kr/handle/11080/6377
ARTST,예술인,김정욱,金貞郁,공연예술,발레,1926,,https://www.daarts.or.kr/handle/11080/6361
ARTST,예술인,김정헌,Kim jeong heon,미술작가,미술작가,1946,,https://www.daarts.or.kr/handle/11080/19311
ARTST,예술인,김정호,Kim Jeongho,창작음악,창작음악,1965,,https://www.daarts.or.kr/handle/11080/49186
ARTST,예술인,김정훈,Kim Chunghoon,창작음악,창작음악,1972,,https://www.daarts.or.kr/handle/11080/52149
ARTST,예술인,김종국,,공연예술,연극,1991,,https://www.daarts.or.kr/handle/11080/135920
ARTST,예술인,김종국,,공연예술,연극,1991,,https://www.daarts.or.kr/handle/11080/135921
ARTST,예술인,김종길,金宗吉,문학,시,1926,,https://www.daarts.or.kr/handle/11080/5771
ARTST,예술인,김종하,金鐘夏,시각예술,서양화,1918,,https://www.daarts.or.kr/handle/11080/5980
ARTST,예술인,김화숙,,공연예술,무용,1949,,https://www.daarts.or.kr/handle/11080/136016
ARTST,예술인,김종학,Kim jong hak,시각예술,미술작가,1954,,https://www.daarts.or.kr/handle/11080/19312
ARTST,예술인,김주풍,Kim Joopoong,창작음악,창작음악,1958,,https://www.daarts.or.kr/handle/11080/51253
ARTST,예술인,김주현,Kim joo hyun,미술작가,미술작가,1965,,https://www.daarts.or.kr/handle/11080/19313
ARTST,예술인,김주형,김주형,창작음악,창작음악,1972,,https://www.daarts.or.kr/handle/11080/82448
ARTST,예술인,김주호,Kim joo ho,시각예술,미술작가,1949,,https://www.daarts.or.kr/handle/11080/19314
ARTST,예술인,김준,Kim joon,미술작가,미술작가,1966,,https://www.daarts.or.kr/handle/11080/19315
ARTST,예술인,김지아나,jianak,시각예술,시각기타,1972,,https://www.daarts.or.kr/handle/11080/112233
ARTST,예술인,김지아나,(Jiana Kim),시각예술,시각기타,1972,,https://www.daarts.or.kr/handle/11080/112234
ARTST,예술인,김지향,Kim Ji-hyang,창작음악,창작음악,1970,,https://www.daarts.or.kr/handle/11080/67867
ARTST,예술인,김지현,Kim Jihyun,창작음악,창작음악,1972,,https://www.daarts.or.kr/handle/11080/58403
ARTST,예술인,김지현,Kim ji hyun,미술작가,미술작가,1968,,https://www.daarts.or.kr/handle/11080/19316
ARTST,예술인,김진관,Kim jin kwan,미술작가,미술작가,1954,,https://www.daarts.or.kr/handle/11080/19317
ARTST,예술인,김진명,Kim jin myung,미술작가,미술작가,1916,,https://www.daarts.or.kr/handle/11080/19318
ARTST,예술인,김진수,Kim jin soo,시각예술,미술작가,1958,,https://www.daarts.or.kr/handle/11080/19319
ARTST,예술인,김진수,Kim Jin-soo,창작음악,창작음악,1969,,https://www.daarts.or.kr/handle/11080/51269
ARTST,예술인,김진영,Kim jin yung,미술작가,미술작가,1954,,https://www.daarts.or.kr/handle/11080/19320
ARTST,예술인,김진호,Kim Jinho,창작음악,창작음악,1965,,https://www.daarts.or.kr/handle/11080/49156
ARTST,예술인,김진홍,金眞弘,공연예술,동래한량춤,1935,,https://www.daarts.or.kr/handle/11080/6345
ARTST,예술인,김차섭,金次燮,시각예술,서양화(미술작가 500인),1940,,https://www.daarts.or.kr/handle/11080/19321
ARTST,예술인,김창겸,Kim chang kyum,미술작가,미술작가,1961,,https://www.daarts.or.kr/handle/11080/19322
ARTST,예술인,김창세,Kim chang se,시각예술,미술작가,1954,,https://www.daarts.or.kr/handle/11080/19323
ARTST,예술인,김창수,,시각예술,사진,1969,,https://www.daarts.or.kr/handle/11080/70403
ARTST,예술인,김창수,,시각예술,사진,1969,,https://www.daarts.or.kr/handle/11080/70428
ARTST,예술인,김창열,金昌烈,시각예술,서양화,1929,,https://www.daarts.or.kr/handle/11080/19324
ARTST,예술인,김창희,Kim chang hee,미술작가,미술작가,1938,,https://www.daarts.or.kr/handle/11080/19325
ARTST,예술인,김채현,"金采賢, 본명 김종원",공연예술,무용평론,1954,,https://www.daarts.or.kr/handle/11080/73720
ARTST,예술인,김천두,金千斗,시각예술,한국화,1928,,https://www.daarts.or.kr/handle/11080/5838
ARTST,예술인,김천영,Kim cheon young,미술작가,미술작가,1953,,https://www.daarts.or.kr/handle/11080/19326
ARTST,예술인,김천욱,Kim Cheonwook,창작음악,음악,1968,,https://www.daarts.or.kr/handle/11080/48850
ARTST,예술인,김천일,Kim cheon il,미술작가,미술작가,1951,,https://www.daarts.or.kr/handle/11080/19327
ARTST,예술인,김천흥,金千興,공연예술,궁중무용,1909,,https://www.daarts.or.kr/handle/11080/6460
ARTST,예술인,김청묵,Kim Cheong mook,창작음악,창작음악,1946,,https://www.daarts.or.kr/handle/11080/106576
ARTST,예술인,김청정,Kim chung jung,미술작가,미술작가,1941,,https://www.daarts.or.kr/handle/11080/19328
ARTST,예술인,김춘수,Kim tschoon su,미술작가,미술작가,1957,,https://www.daarts.or.kr/handle/11080/19329
ARTST,예술인,김춘옥,Kim chun ok,시각예술,미술작가,1946,,https://www.daarts.or.kr/handle/11080/19330
